askAccountId,askOrderId,bidAccountId,bidOrderId,fee,id,is_taker,orderType,price,quantity,realizedPnl,side,symbol,timestamp,timestamp_ns_partial
22919,"592212276527236096",132,"592212268034555904","0.005257",378551918,true,"MARKET","33.69250000","0.3467687","0.000000","Sell","HYPE/USDT-P",1764154496,393000000
132,"592212212852195328",22919,"592212213512799232","0.004215",378548756,true,"MARKET","2.176000000","4.304950","-0.010332","Buy","XRP/USDT-P",1764154256,11000000
22919,"592212152036099072",132,"592212149147795456","0.004210",378545615,true,"MARKET","2.173600000","4.304950","0.000000","Sell","XRP/USDT-P",1764154021,496000000
132,"592212148271710208",22919,"592212150473458688","0.005270",378545537,true,"MARKET","2912.700000","0.004021300","0.003217","Buy","ETH/USDT-P",1764154015,536000000
22919,"592212088821646336",132,"592212085708161025","0.005272",378542430,true,"MARKET","2913.500000","0.004021300","0.000000","Sell","ETH/USDT-P",1764153780,353000000
14496,"592211785440821248",22919,"592211785641624576","0.005277",378527090,true,"MARKET","856.2600000","0.01369571","0.002435","Buy","BNB/USDT-P",1764152623,812000000
22919,"592211724513575936",23000,"592211724374900737","0.005278",378524000,true,"MARKET","856.4377749","0.01369571","0.000000","Sell","BNB/USDT-P",1764152390,626000000
132,"592211538868174850",22919,"592211539003966464","0.005280",378514492,true,"MARKET","855.5099999","0.01371640","-0.004176","Buy","BNB/USDT-P",1764151682,965000000
132,"592211474970574848",22919,"592211479042196480","0.005281",378511456,true,"MARKET","34.00750000","0.3451478","-0.036344","Buy","HYPE/USDT-P",1764151454,228000000
22919,"592211478407545856",132,"592211478321299456","0.005278",378511421,true,"MARKET","855.2055864","0.01371640","0.000000","Sell","BNB/USDT-P",1764151451,808000000
22919,"592211416627807232",132,"592211415306862592","0.005265",378508249,true,"MARKET","33.90220000","0.3451478","0.000000","Sell","HYPE/USDT-P",1764151216,137000000
132,"592211354536640514",22919,"592211355193836544","0.005264",378505144,true,"MARKET","853.2099999","0.01371058","-0.010379","Buy","BNB/USDT-P",1764150981,784000000
22919,"592211294266328064",23000,"592211291819737088","0.005259",378502053,true,"MARKET","852.4529294","0.01371058","0.000000","Sell","BNB/USDT-P",1764150749,365000000
132,"592211224444272641",22919,"592211232633914368","0.004229",378498889,true,"MARKET","0.890810000","10.550497","-0.024583","Buy","VIRTUAL/USDT-P",1764150514,254000000
132,"592211168790839297",22919,"592211170460435456","0.005267",378495669,true,"MARKET","854.8699999","0.01369207","-0.003398","Buy","BNB/USDT-P",1764150277,82000000
22919,"592211049274147840",132,"592211040168050688","0.005265",378489410,true,"MARKET","854.6218227","0.01369207","0.000000","Sell","BNB/USDT-P",1764149814,792000000
22919,"592210924803458048",132,"592210909697671168","0.004218",378482973,true,"MARKET","0.888480000","10.550497","0.000000","Sell","VIRTUAL/USDT-P",1764149339,976000000
132,"592210920968290304",22919,"592210923781620736","0.005276",378482907,true,"MARKET","856.2199999","0.01369536","0.005341","Buy","BNB/USDT-P",1764149336,78000000
22919,"592210860996035584",14496,"592210857977970688","0.005279",378479697,true,"MARKET","856.6100000","0.01369536","0.000000","Sell","BNB/USDT-P",1764149096,570000000
14496,"592210735055765504",22919,"592210735171634176","0.005290",378473212,true,"MARKET","857.7000000","0.01370829","0.003628","Buy","BNB/USDT-P",1764148616,587000000
22919,"592210671695299584",132,"592210668406439936","0.005292",378470026,true,"MARKET","857.9646887","0.01370829","0.000000","Sell","BNB/USDT-P",1764148374,443000000
23000,"592210602282450944",22919,"592210607806612480","0.005299",378466649,true,"MARKET","858.2999349","0.01372139","-0.009604","Buy","BNB/USDT-P",1764148130,728000000
22919,"592210597464245248",132,"592210594732179456","0.004207",378466050,true,"MARKET","0.208203236","44.905271","-0.118405","Sell","XPL/USDT-P",1764148091,275000000
22919,"592210543566652416",132,"592210541606338560","0.005295",378463159,true,"MARKET","857.6000001","0.01372139","0.000000","Sell","BNB/USDT-P",1764147885,672000000
132,"592210467897475072",22919,"592210480638723072","0.005309",378459994,true,"MARKET","857.4999999","0.01376069","-0.006152","Buy","BNB/USDT-P",1764147645,622000000
132,"592210475245109248",22919,"592210478378779648","0.005308",378459857,true,"MARKET","2913.370000","0.004049410","0.000324","Buy","ETH/USDT-P",1764147637,2000000
22919,"592210418647434240",132,"592210413061668864","0.005307",378456823,true,"MARKET","857.0529050","0.01376069","0.000000","Sell","BNB/USDT-P",1764147409,143000000
22919,"592210415693333504",132,"592210412184010752","0.005308",378456674,true,"MARKET","2913.450000","0.004049410","0.000000","Sell","ETH/USDT-P",1764147397,875000000
132,"592210351815393280",22919,"592210354611946496","0.004260",378453557,true,"MARKET","0.210839999","44.905271","0.000000","Buy","XPL/USDT-P",1764147164,867000000
23000,"592210352587145218",22919,"592210353720132608","0.005324",378453511,true,"MARKET","857.8800959","0.01379112","-0.005820","Buy","BNB/USDT-P",1764147161,465000000
22919,"592210290754978816",132,"592210290632294400","0.005321",378450319,true,"MARKET","857.4581190","0.01379112","0.000000","Sell","BNB/USDT-P",1764146921,272000000
132,"592210225469849600",22919,"592210226907710464","0.005321",378447036,true,"MARKET","2.196600000","5.383806","-0.012921","Buy","XRP/USDT-P",1764146677,714000000
132,"592210215930167297",22919,"592210226352751616","0.005317",378447004,true,"MARKET","34.65050000","0.3410510","-0.014153","Buy","HYPE/USDT-P",1764146675,598000000
22919,"592210165104116736",132,"592210165026521088","0.005315",378443733,true,"MARKET","2.194200000","5.383806","0.000000","Sell","XRP/USDT-P",1764146441,952000000
