Market,Side,Date,Trade Value,Size,Price,Closed PnL,Fee,Role,Type
ZEC,Open Long,2025-11-16 12:55:45,31.254124,0.044000,710.321000,-,0.0000,Taker,trade
TAO,Close Short,2025-11-16 12:55:39,26.727596,0.079000,338.324000,-0.132878,0.0000,Taker,trade
BCH,Close Short,2025-11-16 12:55:32,29.120158,0.059000,493.562000,-0.043542,0.0000,Taker,trade
XMR,Close Long,2025-11-16 12:55:26,31.107384,0.072000,432.047000,-0.100872,0.0000,Taker,trade
TAO,Open Short,2025-11-16 12:48:56,26.594718,0.079000,336.642000,-,0.0000,Taker,trade
BCH,Open Short,2025-11-16 12:48:52,29.076616,0.059000,492.824000,-,0.0000,Taker,trade
XMR,Open Long,2025-11-16 12:48:46,6.501720,0.015000,433.448000,-,0.0000,Taker,trade
XMR,Open Long,2025-11-16 12:48:46,11.703096,0.027000,433.448000,-,0.0000,Taker,trade
XMR,Open Long,2025-11-16 12:48:46,13.003440,0.030000,433.448000,-,0.0000,Taker,trade
ZRO,Close Long,2025-11-16 12:42:11,20.925072,14.400000,1.453130,0.034704,0.0000,Taker,trade
SUI,Close Long,2025-11-16 12:42:04,17.041100,10.000000,1.704110,-0.009100,0.0000,Taker,trade
ENA,Close Long,2025-11-16 12:41:58,27.955840,104.500000,0.267520,0.018810,0.0000,Taker,trade
SUI,Open Long,2025-11-16 12:35:24,17.050200,10.000000,1.705020,-,0.0000,Taker,trade
ENA,Open Long,2025-11-16 12:35:21,27.937030,104.500000,0.267340,-,0.0000,Taker,trade
ZRO,Open Long,2025-11-16 12:35:18,20.890368,14.400000,1.450720,-,0.0000,Taker,trade
STRK,Close Long,2025-11-16 12:35:11,17.382816,74.400000,0.233640,-0.117552,0.0000,Taker,trade
ZEC,Close Long,2025-11-16 12:35:05,31.626100,0.044000,718.775000,0.131692,0.0000,Taker,trade
XMR,Close Short,2025-11-16 12:34:58,23.328594,0.054000,432.011000,0.030834,0.0000,Taker,trade
XMR,Open Short,2025-11-16 12:28:02,23.359428,0.054000,432.582000,-,0.0000,Taker,trade
STRK,Open Long,2025-11-16 12:27:55,17.500368,74.400000,0.235220,-,0.0000,Taker,trade
ZEC,Open Long,2025-11-16 12:27:52,31.494408,0.044000,715.782000,-,0.0000,Taker,trade
MON,Close Long,2025-11-16 12:27:46,20.827162,440.600000,0.047270,-0.066090,0.0000,Taker,trade
MON,Open Long,2025-11-16 12:21:15,20.893252,440.600000,0.047420,-,0.0000,Taker,trade
XRP,Close Short,2025-11-16 12:21:02,26.920416,12.000000,2.243368,-0.138228,0.0000,Taker,trade
USELESS,Close Long,2025-11-16 12:14:13,20.110018,140.600000,0.143030,0.177156,0.0000,Taker,trade
USELESS,Open Long,2025-11-16 11:55:00,19.932862,140.600000,0.141770,-,0.0000,Taker,trade
MYX,Close Long,2025-11-16 11:54:51,20.821845,7.950000,2.619100,-0.166950,0.0000,Taker,trade
XRP,Open Short,2025-11-16 11:54:47,26.782188,12.000000,2.231849,-,0.0000,Taker,trade
MYX,Open Long,2025-11-16 11:48:02,20.988795,7.950000,2.640100,-,0.0000,Taker,trade
