symbol,side,entry_time,exit_time,hold_time_minutes,entry_price,exit_price,size,entry_cost,exit_value,pnl,pnl_pct,total_fees
PAXG,LONG,2025-10-22 01:51:17,2025-10-22 11:49:51,598.5666666666667,,,,4.13,4949.4400000000005,4945.31,119741.16222760292,1.98
PAXG,LONG,2025-10-22 01:51:17,2025-10-22 11:49:51,598.5666666666667,,,,33974.409999999996,137.04,-33837.369999999995,-99.59663758693675,5.1499999999999995
PAXG,LONG,2025-10-22 01:52:16,2025-10-22 11:49:51,597.5833333333334,,,,38401.85,36184.82,-2217.029999999999,-5.773237487256471,20.240000000000002
PAXG,LONG,2025-10-22 01:53:53,2025-10-22 12:01:07,607.2333333333333,,,,14473.06,55465.2,40992.14,283.2306367830991,24.36
PAXG,LONG,2025-10-22 01:54:54,2025-10-22 12:02:33,607.65,,,,4.13,1141.7,1137.57,27544.067796610172,0.46
PAXG,LONG,2025-10-22 01:55:04,2025-10-22 12:02:33,607.4833333333333,,,,4.13,28710.59,28706.46,695071.6707021792,11.49
PAXG,LONG,2025-10-22 01:55:10,2025-10-22 12:03:44,608.5666666666667,,,,4.13,30487.34,30483.21,738092.2518159806,12.2
PAXG,LONG,2025-10-22 01:55:15,2025-10-22 12:04:16,609.0166666666667,,,,4.13,35794.35,35790.22,866591.2832929782,5.37
PAXG,SHORT,2025-10-24 19:42:45,2025-10-27 11:15:52,3813.116666666667,,,,147.9,11533.73,-11385.83,-7698.329952670722,1.79
PAXG,SHORT,2025-10-24 19:42:45,2025-10-27 11:16:20,3813.5833333333335,,,,595.68,14586.54,-13990.86,-2348.7207896857376,2.4299999999999997
PAXG,SHORT,2025-10-24 19:42:45,2025-10-27 11:17:09,3814.4,,,,3364.33,12959.230000000001,-9594.900000000001,-285.1949719557832,3.29
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:18:39,1552.6166666666666,,,,40.98,16755.879999999997,-16714.899999999998,-40787.94533918984,2.53
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:19:52,1553.8333333333333,,,,151.64,49036.15,-48884.51,-32237.21313637563,7.409999999999999
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:20:11,1554.15,,,,151.65,3.99,147.66,97.36894164193866,0.06
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:20:17,1554.25,,,,151.65,11.97,139.68,92.10682492581603,0.06
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:20:34,1554.5333333333333,,,,573.78,3.99,569.79,99.30461152358046,0.23
PAXG,SHORT,2025-10-26 09:26:02,2025-10-27 11:20:40,1554.6333333333334,,,,46454.91,11.97,46442.94,99.9742330789146,18.59
PAXG,SHORT,2025-10-26 09:26:21,2025-10-27 11:22:30,1556.15,,,,12.3,3.99,8.31,67.5609756097561,0.0
