"Time","Symbol","Side","Type","Size","Price","Trade Value","Fee","Realized PnL"
"2025-11-07 18:07:07","DOGE","Open Short","Fulfill Taker","2078 DOGE","0.18062","$375.33","$0.15","-$0.15"
"2025-11-07 18:07:01","BTC","Close Short","Fulfill Taker","0.00362 BTC","103,400","$374.31","$0.15","+$0.37"
"2025-11-07 18:01:37","BTC","Open Short","Fulfill Taker","0.00362 BTC","103,544","$374.83","$0.15","-$0.15"
"2025-11-07 17:55:52","BTC","Close Short","Fulfill Taker","0.00327 BTC","103,734","$339.21","$0.14","-$0.25"
"2025-11-07 17:55:52","BTC","Close Short","Fulfill Taker","0.00035 BTC","103,721","$36.3","$0.01","-$0.02"
"2025-11-07 17:55:47","ETH","Close Short","Fulfill Taker","0.1085 ETH","3,468.4","$376.32","$0.15","-$1.13"
"2025-11-07 17:50:05","ETH","Open Short","Fulfill Taker","0.1085 ETH","3,459.4","$375.34","$0.15","-$0.15"
"2025-11-07 17:50:02","BTC","Open Short","Fulfill Taker","0.00362 BTC","103,698","$375.39","$0.15","-$0.15"
"2025-11-07 17:44:36","ETH","Close Long","Fulfill Taker","0.0827 ETH","3,463","$286.39","$0.11","+$0.87"
"2025-11-07 17:44:36","ETH","Close Long","Fulfill Taker","0.0259 ETH","3,463.5","$89.7","$0.04","+$0.29"
"2025-11-07 17:44:30","BTC","Close Long","Fulfill Taker","0.00205 BTC","103,774","$212.74","$0.09","+$0.59"
"2025-11-07 17:44:30","BTC","Close Long","Fulfill Taker","0.00158 BTC","103,774","$163.96","$0.07","+$0.46"
"2025-11-07 17:39:07","ETH","Open Long","Fulfill Taker","0.1086 ETH","3,451.1","$374.79","$0.15","-$0.15"
"2025-11-07 17:39:03","BTC","Open Long","Fulfill Taker","0.00253 BTC","103,445","$261.72","$0.1","-$0.1"
"2025-11-07 17:39:03","BTC","Open Long","Fulfill Taker","0.00036 BTC","103,443","$37.24","$0.01","-$0.01"
"2025-11-07 17:39:03","BTC","Open Long","Fulfill Taker","0.00038 BTC","103,442","$39.31","$0.02","-$0.02"
"2025-11-07 17:39:03","BTC","Open Long","Fulfill Taker","0.00036 BTC","103,440","$37.24","$0.01","-$0.01"
"2025-11-07 17:33:26","DOGE","Close Short","Fulfill Taker","2093 DOGE","0.17955","$375.8","$0.15","-$0.92"
"2025-11-07 17:33:20","SOL","Close Short","Fulfill Taker","2.31 SOL","162.91","$376.32","$0.15","-$1.65"
"2025-11-07 17:33:14","ETH","Close Long","Fulfill Taker","0.1092 ETH","3,451.2","$376.87","$0.15","+$1.63"
"2025-11-07 17:33:09","BTC","Close Long","Fulfill Taker","0.00323 BTC","103,365","$333.87","$0.13","+$0.91"
"2025-11-07 17:33:09","BTC","Close Long","Fulfill Taker","0.00041 BTC","103,365","$42.38","$0.02","+$0.11"
"2025-11-07 17:27:28","DOGE","Open Short","Fulfill Taker","2093 DOGE","0.17918","$375.02","$0.15","-$0.15"
"2025-11-07 17:27:25","SOL","Open Short","Fulfill Taker","2.31 SOL","162.26","$374.82","$0.15","-$0.15"
"2025-11-07 17:27:22","ETH","Open Long","Fulfill Taker","0.1092 ETH","3,434.9","$375.09","$0.15","-$0.15"
"2025-11-07 17:27:18","BTC","Open Long","Fulfill Taker","0.00266 BTC","103,045","$274.1","$0.11","-$0.11"
"2025-11-07 17:27:18","BTC","Open Long","Fulfill Taker","0.00098 BTC","103,039","$100.98","$0.04","-$0.04"
"2025-11-07 17:08:57","DOGE","Close Short","Fulfill Taker","2076 DOGE","0.1803","$374.3","$0.15","+$0.08"
"2025-11-07 17:08:51","ETH","Close Short","Fulfill Taker","0.0044 ETH","3,439.1","$15.13","$0.01","-$0.06"
"2025-11-07 17:08:45","SOL","Close Short","Fulfill Taker","2.29 SOL","163.59","$374.62","$0.15","-$0.84"
"2025-11-07 17:08:39","BTC","Close Short","Fulfill Taker","0.00015 BTC","103,117","$15.47","$0.01","-$0.06"
"2025-11-07 16:47:10","DOGE","Open Short","Fulfill Taker","2076 DOGE","0.18041","$374.53","$0.15","-$0.15"
"2025-11-07 16:35:18","SOL","Open Short","Fulfill Taker","2.29 SOL","163.29","$373.93","$0.15","-$0.15"
"2025-11-07 16:17:53","ETH","Open Short","Fulfill Taker","0.0044 ETH","3,427.6","$15.08","$0.01","-$0.01"
"2025-11-07 16:17:47","BTC","Open Short","Fulfill Taker","0.00015 BTC","102,789","$15.42","$0.01","-$0.01"
"2025-11-07 16:15:08","BTC","Close Long","Fulfill Taker","0.00015 BTC","102,783","$15.42","$0.01","-$0.01"
"2025-11-07 16:14:46","BTC","Open Long","Fulfill Taker","0.00015 BTC","102,785","$15.42","$0.01","-$0.01"
"2025-11-03 21:06:38","ZEC","Close Short","Fulfill Taker","0.17 ZEC","428.96","$72.92","$0.03","-$0.15"
"2025-11-03 21:06:38","XPL","Close Long","Fulfill Taker","174 XPL","0.2725","$47.42","$0.02","-$0.04"
"2025-11-03 21:06:38","SOL","Close Long","Fulfill Taker","0.25 SOL","165.52","$41.38","$0.02","-$0.11"
"2025-11-03 21:06:38","MON","Close Short","Fulfill Taker","1670 MON","0.04154","$69.37","$0.03","-$1.3"
"2025-11-03 21:06:38","ETH","Close Long","Fulfill Taker","0.012 ETH","3,597.2","$43.17","$0.02","-$0.05"
"2025-11-03 20:52:38","SOL","Open Long","Fulfill Taker","0.25 SOL","165.89","$41.47","$0.02","-$0.02"
"2025-11-03 20:52:37","ETH","Open Long","Fulfill Taker","0.012 ETH","3,600.1","$43.2","$0.02","-$0.02"
"2025-11-03 20:52:36","XPL","Open Long","Fulfill Taker","174 XPL","0.2726","$47.43","$0.02","-$0.02"
"2025-11-03 20:52:34","MON","Open Short","Fulfill Taker","1670 MON","0.04078","$68.1","$0.03","-$0.03"
"2025-11-03 20:52:33","ZEC","Open Short","Fulfill Taker","0.11 ZEC","428.22","$47.1","$0.02","-$0.02"
"2025-11-03 20:52:33","ZEC","Open Short","Fulfill Taker","0.06 ZEC","428.23","$25.69","$0.01","-$0.01"
"2025-11-03 20:48:19","ZEC","Close Short","Fulfill Taker","0.27 ZEC","427.09","$115.31","$0.05","-$8.58"
"2025-11-03 20:48:19","WLFI","Close Long","Fulfill Taker","277 WLFI","0.1148","$31.8","$0.01","-$2.39"
"2025-11-03 20:48:19","PAXG","Close Short","Fulfill Taker","0.003 PAXG","3,990.5","$11.97","$0","+$0.06"
"2025-11-03 20:48:19","ETH","Close Long","Fulfill Taker","0.0061 ETH","3,595.1","$21.93","$0.01","-$0.1"
"2025-11-03 20:48:19","CRV","Close Short","Fulfill Taker","28.2 CRV","0.4291","$12.1","$0","-$0.16"
"2025-11-03 20:48:19","2Z","Close Long","Fulfill Taker","408 2Z","0.1596","$65.12","$0.03","-$2.64"
"2025-11-03 20:48:19","XPL","Close Long","Fulfill Taker","275 XPL","0.2726","$74.97","$0.03","-$0.56"
"2025-11-03 20:48:19","FARTCOIN","Close Long","Fulfill Taker","41.1 FARTCOIN","0.2617","$10.76","$0","-$0.57"
"2025-11-03 20:48:19","AVAX","Close Short","Fulfill Taker","0.66 AVAX","16.66","$11","$0","+$0.63"
"2025-11-03 20:48:19","AAVE","Close Short","Fulfill Taker","0.17 AAVE","199.28","$33.88","$0.01","+$2.5"
"2025-11-03 20:48:19","ENA","Close Short","Fulfill Taker","220 ENA","0.33061","$72.73","$0.03","+$4.81"
"2025-11-03 20:48:19","LDO","Close Long","Fulfill Taker","13.8 LDO","0.7385","$10.19","$0","-$0.33"
"2025-11-03 20:48:19","HYPE","Close Long","Fulfill Taker","0.87 HYPE","39.889","$34.7","$0.01","-$0.9"
"2025-11-03 20:48:19","SOL","Close Long","Fulfill Taker","0.58 SOL","165.7","$96.11","$0.04","-$4.3"
"2025-11-03 20:48:19","PUMP","Close Long","Fulfill Taker","3187 PUMP","0.003844","$12.25","$0","+$0.32"
"2025-11-03 20:48:19","PENGU","Close Long","Fulfill Taker","1383 PENGU","0.015422","$21.33","$0.01","-$1.27"
"2025-11-03 20:48:19","MON","Close Short","Fulfill Taker","272 MON","0.04095","$11.14","$0","+$0.16"
"2025-11-03 20:48:19","LTC","Close Short","Fulfill Taker","0.25 LTC","87.27","$21.82","$0.01","+$1.18"
"2025-11-03 16:40:49","SOL","Open Long","Fulfill Taker","0.06 SOL","167.96","$10.08","$0","-$0"
"2025-11-03 14:59:31","MON","Open Short","Fulfill Taker","272 MON","0.04155","$11.3","$0","-$0"
"2025-11-03 14:45:13","ZEC","Open Short","Fulfill Taker","0.03 ZEC","412.56","$12.38","$0","-$0"
"2025-11-03 14:38:14","LTC","Close Short","Fulfill Taker","0.12 LTC","89.27","$10.71","$0","+$0.33"
"2025-11-03 14:31:38","XPL","Close Long","Fulfill Taker","36 XPL","0.2832","$10.2","$0","+$0.31"
"2025-11-03 14:02:30","LDO","Open Long","Fulfill Taker","13.8 LDO","0.7619","$10.51","$0","-$0"
"2025-11-03 14:02:29","SOL","Open Long","Fulfill Taker","0.06 SOL","168.32","$10.1","$0","-$0"
"2025-11-03 14:02:28","ETH","Open Long","Fulfill Taker","0.0031 ETH","3,619.6","$11.22","$0","-$0"
"2025-11-03 13:48:18","FARTCOIN","Open Long","Fulfill Taker","41.1 FARTCOIN","0.2755","$11.32","$0","-$0"
"2025-11-03 13:48:17","SOL","Open Long","Fulfill Taker","0.06 SOL","168.05","$10.08","$0","-$0"
"2025-11-03 13:48:15","XPL","Close Long","Fulfill Taker","38 XPL","0.2793","$10.61","$0","+$0.18"
"2025-11-03 12:51:29","PUMP","Open Long","Fulfill Taker","3187 PUMP","0.003743","$11.93","$0","-$0"
"2025-11-03 12:44:03","ETH","Open Long","Fulfill Taker","0.003 ETH","3,599.4","$10.8","$0","-$0"
"2025-11-03 12:44:02","CRV","Open Short","Fulfill Taker","28.2 CRV","0.4237","$11.95","$0","-$0"
"2025-11-03 12:44:01","HYPE","Open Long","Fulfill Taker","0.31 HYPE","39.322","$12.19","$0","-$0"
"2025-11-03 12:43:59","XPL","Open Long","Fulfill Taker","53 XPL","0.2574","$13.64","$0.01","-$0.01"
"2025-11-03 12:43:58","PAXG","Open Short","Fulfill Taker","0.003 PAXG","4,011.2","$12.03","$0","-$0"
"2025-11-03 12:43:56","ZEC","Open Short","Fulfill Taker","0.04 ZEC","387.55","$15.5","$0.01","-$0.01"
"2025-11-03 12:39:18","PUMP","Close Long","Fulfill Taker","27890 PUMP","0.003862","$107.71","$0.04","-$9.26"
"2025-11-03 11:38:21","PUMP","Open Long","Fulfill Taker","2462 PUMP","0.004125","$10.16","$0","-$0"
"2025-11-03 09:51:21","XPL","Open Long","Fulfill Taker","37 XPL","0.2855","$10.56","$0","-$0"
"2025-11-03 09:43:56","XPL","Open Long","Fulfill Taker","36 XPL","0.2788","$10.04","$0","-$0"
"2025-11-03 09:36:12","HYPE","Open Long","Fulfill Taker","0.24 HYPE","41.581","$9.98","$0","-$0"
"2025-11-03 09:29:02","XPL","Open Long","Fulfill Taker","38 XPL","0.2765","$10.51","$0","-$0"
"2025-11-03 09:29:00","AVAX","Open Short","Fulfill Taker","0.66 AVAX","17.617","$11.63","$0","-$0"
"2025-11-03 09:28:59","ZEC","Open Short","Fulfill Taker","0.03 ZEC","399.31","$11.98","$0","-$0"
"2025-11-03 09:21:56","HYPE","Open Long","Fulfill Taker","0.32 HYPE","41.923","$13.42","$0.01","-$0.01"
"2025-11-03 09:21:55","ZEC","Open Short","Fulfill Taker","0.03 ZEC","401.65","$12.05","$0","-$0"
"2025-11-03 09:14:33","LTC","Open Short","Fulfill Taker","0.17 LTC","92.12","$15.66","$0.01","-$0.01"
"2025-11-03 09:14:32","ZEC","Open Short","Fulfill Taker","0.04 ZEC","394.42","$15.78","$0.01","-$0.01"
"2025-11-03 09:14:31","XPL","Close Long","Fulfill Taker","60 XPL","0.2745","$16.47","$0.01","-$0.1"
"2025-11-03 09:07:40","LTC","Open Short","Fulfill Taker","0.2 LTC","91.94","$18.39","$0.01","-$0.01"
"2025-11-03 09:07:39","PENGU","Open Long","Fulfill Taker","1383 PENGU","0.016336","$22.59","$0.01","-$0.01"
"2025-11-03 09:07:38","PUMP","Open Long","Fulfill Taker","1747 PUMP","0.004105","$7.17","$0","-$0"
"2025-11-03 09:07:38","PUMP","Open Long","Fulfill Taker","4988 PUMP","0.004105","$20.48","$0.01","-$0.01"
"2025-11-03 09:00:14","WLFI","Open Long","Fulfill Taker","277 WLFI","0.1234","$34.18","$0.01","-$0.01"
"2025-11-03 09:00:13","AAVE","Open Short","Fulfill Taker","0.17 AAVE","214.06","$36.39","$0.01","-$0.01"
"2025-11-03 09:00:12","ZEC","Open Short","Fulfill Taker","0.1 ZEC","390.92","$39.09","$0.02","-$0.02"
"2025-11-03 09:00:10","2Z","Open Long","Fulfill Taker","408 2Z","0.166","$67.73","$0.03","-$0.03"
"2025-11-03 09:00:09","XPL","Open Long","Fulfill Taker","245 XPL","0.276","$67.62","$0.03","-$0.03"
"2025-11-03 09:00:08","SOL","Open Long","Fulfill Taker","0.4 SOL","175.26","$70.1","$0.03","-$0.03"
"2025-11-03 09:00:07","ENA","Open Short","Fulfill Taker","220 ENA","0.35261","$77.57","$0.03","-$0.03"
"2025-11-02 19:53:54","ASTER","Close Short","Fulfill Taker","72.93 ASTER","1.2049","$87.87","$0.04","-$0.92"
"2025-11-02 19:45:37","PUMP","Open Long","Fulfill Taker","18693 PUMP","0.004233","$79.13","$0.03","-$0.03"
"2025-11-02 19:45:36","ENA","Close Long","Fulfill Taker","238 ENA","0.3662","$87.16","$0.03","-$0.03"
"2025-11-02 19:45:35","ASTER","Open Short","Fulfill Taker","72.93 ASTER","1.19272","$86.99","$0.03","-$0.03"
"2025-11-02 19:38:04","AAVE","Close Short","Fulfill Taker","0.37 AAVE","224.28","$82.98","$0.03","+$0.41"
"2025-11-02 19:38:03","ENA","Open Long","Fulfill Taker","238 ENA","0.3662","$87.16","$0.03","-$0.03"
"2025-11-02 19:38:01","ZEC","Close Short","Fulfill Taker","0.2 ZEC","408.79","$81.76","$0.03","+$1.45"
"2025-11-02 19:30:01","AAVE","Open Short","Fulfill Taker","0.37 AAVE","225.49","$83.43","$0.03","-$0.03"
"2025-11-02 19:29:59","ENA","Close Long","Fulfill Taker","254 ENA","0.36738","$93.31","$0.04","-$0.33"
"2025-11-02 19:29:58","ZEC","Open Short","Fulfill Taker","0.2 ZEC","416.18","$83.24","$0.03","-$0.03"
"2025-11-02 19:22:37","ENA","Open Long","Fulfill Taker","254 ENA","0.36854","$93.61","$0.04","-$0.04"
"2025-11-02 19:22:36","PUMP","Close Long","Fulfill Taker","19899 PUMP","0.004286","$85.29","$0.03","+$0.09"
"2025-11-02 19:22:35","ZEC","Close Short","Fulfill Taker","0.22 ZEC","415.56","$91.42","$0.04","+$0.06"
"2025-11-02 19:14:20","PUMP","Open Long","Fulfill Taker","19899 PUMP","0.00428","$85.17","$0.03","-$0.03"
"2025-11-02 19:14:19","ZEC","Open Short","Fulfill Taker","0.15 ZEC","415.98","$62.4","$0.02","-$0.02"
"2025-11-02 19:14:19","ZEC","Open Short","Fulfill Taker","0.04 ZEC","416.07","$16.64","$0.01","-$0.01"
"2025-11-02 19:14:19","ZEC","Open Short","Fulfill Taker","0.03 ZEC","416.15","$12.48","$0","-$0"
"2025-11-02 19:14:18","ENA","Close Short","Fulfill Taker","185 ENA","0.3679","$68.06","$0.03","-$0.26"
"2025-11-02 19:07:09","MON","Close Long","Fulfill Taker","2011 MON","0.04275","$85.97","$0.03","+$1.05"
"2025-11-02 19:07:08","ENA","Open Short","Fulfill Taker","185 ENA","0.36665","$67.83","$0.03","-$0.03"
"2025-11-02 19:07:07","AAVE","Close Short","Fulfill Taker","0.26 AAVE","226.58","$58.91","$0.02","-$0.04"
"2025-11-02 18:59:01","ENA","Close Long","Fulfill Taker","253 ENA","0.36641","$92.7","$0.04","-$0.24"
"2025-11-02 18:59:00","AAVE","Open Short","Fulfill Taker","0.15 AAVE","226.52","$33.98","$0.01","-$0.01"
"2025-11-02 18:59:00","AAVE","Open Short","Fulfill Taker","0.11 AAVE","226.53","$24.92","$0.01","-$0.01"
"2025-11-02 18:51:29","MON","Open Long","Fulfill Taker","2011 MON","0.04221","$84.88","$0.03","-$0.03"
"2025-11-02 18:51:28","ENA","Open Long","Fulfill Taker","253 ENA","0.36721","$92.9","$0.04","-$0.04"
"2025-11-02 18:51:26","ZEC","Close Long","Fulfill Taker","0.14 ZEC","402.12","$56.3","$0.02","-$0.33"
"2025-11-02 18:44:17","MON","Close Long","Fulfill Taker","2036 MON","0.0418","$85.1","$0.03","-$0.54"
"2025-11-02 18:44:16","ENA","Close Long","Fulfill Taker","256 ENA","0.36703","$93.96","$0.04","+$0.04"
"2025-11-02 18:44:14","ZEC","Open Long","Fulfill Taker","0.14 ZEC","404.3","$56.6","$0.02","-$0.02"
"2025-11-02 18:36:41","MON","Open Long","Fulfill Taker","2036 MON","0.04205","$85.61","$0.03","-$0.03"
"2025-11-02 18:36:40","ENA","Open Long","Fulfill Taker","256 ENA","0.36673","$93.88","$0.04","-$0.04"
"2025-11-02 18:36:38","ZEC","Close Long","Fulfill Taker","0.17 ZEC","401.76","$68.3","$0.03","+$0.62"
"2025-11-02 18:29:34","PUMP","Close Long","Fulfill Taker","21965 PUMP","0.004264","$93.66","$0.04","-$0.04"
"2025-11-02 18:29:33","ENA","Close Long","Fulfill Taker","209 ENA","0.36659","$76.62","$0.03","-$0.07"
"2025-11-02 18:29:32","ZEC","Open Long","Fulfill Taker","0.17 ZEC","397.93","$67.65","$0.03","-$0.03"
"2025-11-02 18:22:04","ENA","Open Long","Fulfill Taker","209 ENA","0.36679","$76.66","$0.03","-$0.03"
"2025-11-02 18:22:02","PUMP","Open Long","Fulfill Taker","21965 PUMP","0.004264","$93.66","$0.04","-$0.04"
"2025-11-02 18:22:01","ZEC","Close Long","Fulfill Taker","0.09 ZEC","395.38","$35.58","$0.01","+$0.03"
"2025-11-02 18:22:01","ZEC","Close Long","Fulfill Taker","0.06 ZEC","395.39","$23.72","$0.01","+$0.02"
"2025-11-02 18:14:39","MON","Close Long","Fulfill Taker","2041 MON","0.04196","$85.64","$0.03","-$0.52"
"2025-11-02 18:14:38","ENA","Close Long","Fulfill Taker","257 ENA","0.36565","$93.97","$0.04","-$0.41"
"2025-11-02 18:14:36","ZEC","Open Long","Fulfill Taker","0.15 ZEC","394.94","$59.24","$0.02","-$0.02"
"2025-11-02 18:07:24","MON","Open Long","Fulfill Taker","2041 MON","0.0422","$86.13","$0.03","-$0.03"
"2025-11-02 18:07:23","ENA","Open Long","Fulfill Taker","257 ENA","0.3671","$94.34","$0.04","-$0.04"
"2025-11-02 18:07:22","ZEC","Close Long","Fulfill Taker","0.2 ZEC","395.89","$79.18","$0.03","+$0.08"
"2025-11-02 18:00:16","PUMP","Close Long","Fulfill Taker","20160 PUMP","0.004267","$86.02","$0.03","-$0.07"
"2025-11-02 18:00:15","ZEC","Open Long","Fulfill Taker","0.2 ZEC","395.31","$79.06","$0.03","-$0.03"
"2025-11-02 18:00:14","ENA","Close Long","Fulfill Taker","258 ENA","0.36674","$94.62","$0.04","+$0.02"
"2025-11-02 17:52:50","PUMP","Open Long","Fulfill Taker","20160 PUMP","0.004269","$86.06","$0.03","-$0.03"
"2025-11-02 17:52:49","ENA","Open Long","Fulfill Taker","258 ENA","0.36652","$94.56","$0.04","-$0.04"
"2025-11-02 17:52:47","ZEC","Close Long","Fulfill Taker","0.24 ZEC","394.03","$94.57","$0.04","+$0.07"
"2025-11-02 17:45:04","ZEC","Open Long","Fulfill Taker","0.18 ZEC","393.6","$70.85","$0.03","-$0.03"
"2025-11-02 17:45:04","ZEC","Open Long","Fulfill Taker","0.06 ZEC","393.53","$23.61","$0.01","-$0.01"
"2025-11-02 17:45:03","ASTER","Close Short","Fulfill Taker","78.04 ASTER","1.17686","$91.84","$0.04","+$1.44"
"2025-11-02 17:45:02","ENA","Close Long","Fulfill Taker","208 ENA","0.36554","$76.03","$0.03","-$0.07"
"2025-11-02 17:37:13","ENA","Open Long","Fulfill Taker","208 ENA","0.36572","$76.07","$0.03","-$0.03"
"2025-11-02 17:37:12","ASTER","Open Short","Fulfill Taker","78.04 ASTER","1.19583","$93.32","$0.04","-$0.04"
"2025-11-02 17:37:10","BTC","Close Short","Fulfill Taker","0.00085 BTC","109,952","$93.46","$0.04","-$0.11"
"2025-11-02 17:29:56","BTC","Open Short","Fulfill Taker","0.00085 BTC","109,871","$93.39","$0.04","-$0.04"
"2025-11-02 17:29:55","ASTER","Close Short","Fulfill Taker","77.76 ASTER","1.2034","$93.58","$0.04","-$0.03"
"2025-11-02 17:29:54","ETH","Close Long","Fulfill Taker","0.0199 ETH","3,851.5","$76.64","$0.03","-$0.05"
"2025-11-02 17:22:31","ETH","Open Long","Fulfill Taker","0.0199 ETH","3,852.4","$76.66","$0.03","-$0.03"
"2025-11-02 17:22:30","ASTER","Open Short","Fulfill Taker","77.76 ASTER","1.20352","$93.59","$0.04","-$0.04"
"2025-11-02 17:22:29","PUMP","Close Long","Fulfill Taker","22047 PUMP","0.004254","$93.79","$0.04","+$0.27"
"2025-11-02 17:15:03","PUMP","Open Long","Fulfill Taker","22047 PUMP","0.00424","$93.48","$0.04","-$0.04"
"2025-11-02 17:15:02","ASTER","Close Short","Fulfill Taker","72.64 ASTER","1.19395","$86.73","$0.03","-$0.04"
"2025-11-02 17:15:01","ZEC","Close Long","Fulfill Taker","0.21 ZEC","393.45","$82.62","$0.03","-$0.93"
"2025-11-02 17:08:02","ASTER","Open Short","Fulfill Taker","72.64 ASTER","1.19394","$86.73","$0.03","-$0.03"
"2025-11-02 17:08:01","PAXG","Close Long","Fulfill Taker","0.023 PAXG","3,997.2","$91.94","$0.04","-$0.06"
"2025-11-02 17:08:00","ZEC","Open Long","Fulfill Taker","0.15 ZEC","397.71","$59.66","$0.02","-$0.02"
"2025-11-02 17:08:00","ZEC","Open Long","Fulfill Taker","0.06 ZEC","397.7","$23.86","$0.01","-$0.01"
"2025-11-02 17:00:53","ASTER","Close Short","Fulfill Taker","72.97 ASTER","1.17618","$85.83","$0.03","+$0.22"
"2025-11-02 17:00:52","CRV","Close Long","Fulfill Taker","152.1 CRV","0.4637","$70.53","$0.03","-$0.1"
"2025-11-02 16:53:20","CRV","Open Long","Fulfill Taker","152.1 CRV","0.4642","$70.6","$0.03","-$0.03"
"2025-11-02 16:53:19","ASTER","Open Short","Fulfill Taker","72.97 ASTER","1.17971","$86.08","$0.03","-$0.03"
"2025-11-02 16:46:13","BTC","Close Long","Fulfill Taker","0.00076 BTC","110,022","$83.62","$0.03","+$0.04"
"2025-11-02 16:46:12","ETH","Close Long","Fulfill Taker","0.0245 ETH","3,845","$94.2","$0.04","-$0.12"
"2025-11-02 16:38:10","BTC","Open Long","Fulfill Taker","0.00076 BTC","109,927","$83.54","$0.03","-$0.03"
"2025-11-02 16:38:08","PAXG","Open Long","Fulfill Taker","0.023 PAXG","3,998","$91.95","$0.04","-$0.04"
"2025-11-02 16:31:08","ETH","Open Long","Fulfill Taker","0.0245 ETH","3,848.4","$94.29","$0.04","-$0.04"
"2025-11-02 16:31:07","AAVE","Close Long","Fulfill Taker","0.42 AAVE","224.99","$94.5","$0.04","-$0.21"
"2025-11-02 16:31:06","ZEC","Close Long","Fulfill Taker","0.07 ZEC","389.87","$27.29","$0.01","-$0"
"2025-11-02 16:31:06","ZEC","Close Long","Fulfill Taker","0.1 ZEC","389.88","$38.99","$0.02","-$0"
"2025-11-02 16:31:06","ZEC","Close Long","Fulfill Taker","0.05 ZEC","389.94","$19.5","$0.01","+$0"
"2025-11-02 16:23:53","ZEC","Open Long","Fulfill Taker","0.22 ZEC","389.74","$85.74","$0.03","-$0.03"
"2025-11-02 16:23:52","AAVE","Open Long","Fulfill Taker","0.42 AAVE","225.4","$94.67","$0.04","-$0.04"
"2025-11-02 16:23:51","ETH","Close Long","Fulfill Taker","0.0246 ETH","3,853.1","$94.79","$0.04","-$0.15"
"2025-11-02 16:16:51","ETH","Open Long","Fulfill Taker","0.0246 ETH","3,857.8","$94.9","$0.04","-$0.04"
"2025-11-02 16:16:50","AAVE","Close Long","Fulfill Taker","0.38 AAVE","225.67","$85.75","$0.03","-$0.1"
"2025-11-02 16:16:49","ZEC","Close Long","Fulfill Taker","0.24 ZEC","393.04","$94.33","$0.04","-$0.88"
"2025-11-02 16:09:43","AAVE","Open Long","Fulfill Taker","0.38 AAVE","225.84","$85.82","$0.03","-$0.03"
"2025-11-02 16:09:42","ZEC","Open Long","Fulfill Taker","0.24 ZEC","396.54","$95.17","$0.04","-$0.04"
"2025-11-02 16:09:40","ASTER","Close Short","Fulfill Taker","78.48 ASTER","1.21733","$95.54","$0.04","+$0.16"
"2025-11-02 16:02:51","ASTER","Open Short","Fulfill Taker","78.48 ASTER","1.21985","$95.73","$0.04","-$0.04"
